No.,Description,Serial No.,Vehicle License Plate,Vehicle Year,Location Code,On Rent Sell-to Customer Name,Tracking Serial No.,Description 2,Manufacturer Code,On Rent,In-Service,Blocked,Disposed,Acquired,On Rent Sell-to Customer No.,Branch Code,Door Type,Condition,Suspension,E-Track,Log Post,Roof
154446,53' ROAD TRAILER,3H3V532C9FT154446,TN U489270,2015,WMSPT,The Little Abby Company LLC,SVE5CLAG222438235,BSETL Unit Transfer,HYUNDAI,TRUE,TRUE,FALSE,FALSE,TRUE,C34064,CORP,SWING,ROAD,AIR,NO,YES,ALUM
281409,53' ROAD TRAILER,1GRAP0626GT606409,TN U624064,2016,BALTBOW,The Little Abby Company LLC,SHB7BJBL230699596,Lease No. 134376-170,GREAT DANE,TRUE,FALSE,FALSE,FALSE,TRUE,C34064,BALTB,SWING,ROAD,AIR,NO,YES,ALUM
282218,53' ROAD TRAILER,1GRAP0625GD460918,TN U566215,2016,WMSPT,The Little Abby Company LLC,SHB7BJBL231902689,Lease No. 134376-156,GREAT DANE,TRUE,TRUE,FALSE,FALSE,TRUE,C34064,WILLI,SWING,ROAD,AIR,NO,YES,ALUM
282232,53' ROAD TRAILER,1GRAP062XGD460932,TN U566229,2016,WMSPT,The Little Abby Company LLC,SHB81JBL233719832,Lease No. 134376-156,GREAT DANE,TRUE,TRUE,FALSE,FALSE,TRUE,C34064,WILLI,SWING,ROAD,AIR,NO,YES,ALUM
282792,53' ROAD TRAILER,1GRAP0622GD461492,TN 633312T,2016,WMSPT,The Little Abby Company LLC,SHB7BJBL231290643,Lease No. 134376-173,GREAT DANE,TRUE,TRUE,FALSE,FALSE,TRUE,C34064,SCRAN,SWING,ROAD,AIR,NO,YES,ALUM
53595,53' ROAD TRAILER,1GRAP0624HD467084,TN U651730,2017,BALTBOW,The Little Abby Company LLC,SHB7BLAG222161556,Lease No. 134376-172,GREAT DANE,TRUE,TRUE,FALSE,FALSE,TRUE,C34064,BALTB,SWING,ROAD,AIR,NO,YES,ALUM
GT003218,53' ROAD TRAILER,3H3V532C7GT003218,TN U554997,2016,BALTBOW,The Little Abby Company LLC,SHB7BJBL231089589,BSETL Unit Transfer,HYUNDAI,TRUE,FALSE,FALSE,FALSE,TRUE,C34064,BALTB,SWING,ROAD,AIR,NO,YES,ALUM
GT003879,53' ROAD TRAILER,3H3V532C7GT003879,TN U590249,2016,WMSPT,The Little Abby Company LLC,SHB7BJBL223696055,BSETL Unit Transfer,HYUNDAI,TRUE,TRUE,FALSE,FALSE,TRUE,C34064,BALTB,SWING,ROAD,AIR,NO,YES,ALUM
HT367630,53' ROAD TRAILER,3H3V532C0HT367630,TN U686001,2017,WMSPT,The Little Abby Company LLC,SHB7BLAG222366875,BSETL Unit Transfer,HYUNDAI,TRUE,TRUE,FALSE,FALSE,TRUE,C34064,LAREDO,SWING,ROAD,AIR,NO,YES,ALUM
JR112396,53' ROAD TRAILER,3H3V532C0JR112396,TN U771678,2018,WMSPT,The Little Abby Company LLC,SHB8AJBL240238676,BSETL UNIT,HYUNDAI,TRUE,TRUE,FALSE,FALSE,TRUE,C34064,WILLI,SWING,ROAD,AIR,NO,YES,ALUM
